REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Nova Scotia,2016A000212,Other general merchandise stores [4529],Unadjusted,Dollars,81,thousands,3,v52367474,4.28.1,,x,,,0
Sep-19,Nova Scotia,2016A000212,Miscellaneous store retailers [453],Unadjusted,Dollars,81,thousands,3,v52367475,4.29.1,41545,C,,,0
Sep-19,Nova Scotia,2016A000212,Cannabis stores [453993],Unadjusted,Dollars,81,thousands,3,v1035339085,4.30.1,5743,A,,,0
Sep-19,New Brunswick,2016A000213,Retail trade [44-45],Unadjusted,Dollars,81,thousands,3,v52367483,5.1.1,1094991,A,,,0
Sep-19,New Brunswick,2016A000213,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,3,v52367484,5.1.2,1097697,A,,,0
Sep-19,New Brunswick,2016A000213,Motor vehicle and parts dealers [441],Unadjusted,Dollars,81,thousands,3,v52367495,5.2.1,308250,A,,,0
Sep-19,New Brunswick,2016A000213,Automobile dealers [4411],Unadjusted,Dollars,81,thousands,3,v52367506,5.3.1,258275,A,,,0
Sep-19,New Brunswick,2016A000213,New car dealers [44111],Unadjusted,Dollars,81,thousands,3,v52367507,5.4.1,240868,A,,,0
Sep-19,New Brunswick,2016A000213,Used car dealers [44112],Unadjusted,Dollars,81,thousands,3,v52367508,5.5.1,17407,D,,,0
Sep-19,New Brunswick,2016A000213,Other motor vehicle dealers [4412],Unadjusted,Dollars,81,thousands,3,v52367509,5.6.1,25643,C,,,0
Sep-19,New Brunswick,2016A000213,"Automotive parts, accessories and tire stores [4413]",Unadjusted,Dollars,81,thousands,3,v52367510,5.7.1,24332,B,,,0
Sep-19,New Brunswick,2016A000213,Furniture and home furnishings stores [442],Unadjusted,Dollars,81,thousands,3,v52367511,5.8.1,23457,A,,,0
Sep-19,New Brunswick,2016A000213,Furniture stores [4421],Unadjusted,Dollars,81,thousands,3,v52367512,5.9.1,14353,A,,,0
Sep-19,New Brunswick,2016A000213,Home furnishings stores [4422],Unadjusted,Dollars,81,thousands,3,v52367485,5.10.1,9103,A,,,0
Sep-19,New Brunswick,2016A000213,Electronics and appliance stores [443],Unadjusted,Dollars,81,thousands,3,v52367486,5.11.1,10008,A,,,0
Sep-19,New Brunswick,2016A000213,Building material and garden equipment and supplies dealers [444],Unadjusted,Dollars,81,thousands,3,v52367487,5.12.1,80809,B,,,0
Sep-19,New Brunswick,2016A000213,Food and beverage stores [445],Unadjusted,Dollars,81,thousands,3,v52367488,5.13.1,197300,A,,,0
Sep-19,New Brunswick,2016A000213,Grocery stores [4451],Unadjusted,Dollars,81,thousands,3,v52367489,5.14.1,151906,A,,,0
Sep-19,New Brunswick,2016A000213,Supermarkets and other grocery (except convenience) stores? [44511],Unadjusted,Dollars,81,thousands,3,v52367490,5.15.1,137771,A,,,0
Sep-19,New Brunswick,2016A000213,Convenience stores [44512],Unadjusted,Dollars,81,thousands,3,v52367491,5.16.1,14136,A,,,0
Sep-19,New Brunswick,2016A000213,Specialty food stores [4452],Unadjusted,Dollars,81,thousands,3,v52367492,5.17.1,,x,,,0
Sep-19,New Brunswick,2016A000213,"Beer, wine and liquor stores [4453]",Unadjusted,Dollars,81,thousands,3,v52367493,5.18.1,,x,,,0
Sep-19,New Brunswick,2016A000213,Health and personal care stores [446],Unadjusted,Dollars,81,thousands,3,v52367494,5.19.1,85359,A,,,0
Sep-19,New Brunswick,2016A000213,Gasoline stations [447],Unadjusted,Dollars,81,thousands,3,v52367496,5.20.1,160052,A,,,0
Sep-19,New Brunswick,2016A000213,Clothing and clothing accessories stores [448],Unadjusted,Dollars,81,thousands,3,v52367497,5.21.1,36117,A,,,0
Sep-19,New Brunswick,2016A000213,Clothing stores [4481],Unadjusted,Dollars,81,thousands,3,v52367498,5.22.1,29651,A,,,0
Sep-19,New Brunswick,2016A000213,Shoe stores [4482],Unadjusted,Dollars,81,thousands,3,v52367499,5.23.1,3643,A,,,0
Sep-19,New Brunswick,2016A000213,"Jewellery, luggage and leather goods stores [4483]",Unadjusted,Dollars,81,thousands,3,v52367500,5.24.1,2823,B,,,0
